food_id,name,tags,ingredients,cook_time,img_url
91,Kachori,spicy snack Uttar Pradesh vegetarian,Not available,Not available,
92,Kadai paneer,spicy main course Punjab vegetarian,Not available,Not available,
93,Kadhi pakoda,spicy main course Haryana vegetarian,Not available,Not available,
94,Karela bharta,bitter main course Punjab vegetarian,Not available,Not available,
95,Khichdi,spicy main course -1 vegetarian,Not available,Not available,
96,Kofta,spicy main course Uttar Pradesh vegetarian,Not available,Not available,
97,Kulfi falooda,sweet dessert -1 vegetarian,Not available,Not available,
98,Lauki ke kofte,spicy main course Uttar Pradesh vegetarian,Not available,Not available,
99,Lauki ki subji,spicy main course -1 vegetarian,Not available,Not available,
100,Litti chokha,spicy main course Bihar vegetarian,Not available,Not available,
101,Makki di roti sarson da saag,spicy main course Punjab vegetarian,Not available,Not available,
102,Misi roti,spicy main course Punjab vegetarian,Not available,Not available,
103,Mushroom do pyaza,spicy main course Punjab vegetarian,Not available,Not available,
104,Mushroom matar,spicy main course Punjab vegetarian,Not available,Not available,
105,Naan,-1 main course Punjab vegetarian,Not available,Not available,
106,Navrattan korma,spicy main course Uttar Pradesh vegetarian,Not available,Not available,
107,Palak paneer,spicy main course Punjab vegetarian,Not available,Not available,
108,Paneer butter masala,spicy main course Punjab vegetarian,Not available,Not available,
109,Paneer tikka masala,spicy main course Punjab vegetarian,Not available,Not available,
110,Pani puri,spicy snack -1 vegetarian,Not available,Not available,
111,Panjeeri,sweet dessert Uttar Pradesh vegetarian,Not available,Not available,
112,Papad,spicy snack -1 vegetarian,Not available,Not available,
113,Paratha,spicy main course Punjab vegetarian,Not available,Not available,
114,Pattor,spicy main course Rajasthan vegetarian,Not available,Not available,
115,Pindi chana,spicy main course Punjab vegetarian,Not available,Not available,
116,Rajma chaval,spicy main course -1 vegetarian,Not available,Not available,
117,Rongi,-1 main course Punjab vegetarian,Not available,Not available,
118,Samosa,spicy snack -1 vegetarian,Not available,Not available,
119,Sattu ki roti,spicy main course Bihar vegetarian,Not available,Not available,
120,Shahi paneer,spicy main course Punjab vegetarian,Not available,Not available,
121,Shahi tukra,sweet dessert Telangana vegetarian,Not available,Not available,
122,Vegetable jalfrezi,spicy main course Punjab vegetarian,Not available,Not available,
123,Tandoori Chicken,spicy main course Punjab non vegetarian,Not available,Not available,
124,Tandoori Fish Tikka,spicy starter Punjab non vegetarian,Not available,Not available,
125,Attu,spicy snack Andhra Pradesh vegetarian,Not available,Not available,
126,Avial,spicy main course Kerala vegetarian,Not available,Not available,
127,Bisi bele bath,spicy main course Karnataka vegetarian,Not available,Not available,
128,Currivepillai sadam ,spicy main course Tamil Nadu vegetarian,Not available,Not available,
129,Dosa,spicy snack -1 vegetarian,Not available,Not available,
130,Idiappam,spicy snack Tamil Nadu vegetarian,Not available,Not available,
131,Idli,spicy snack -1 vegetarian,Not available,Not available,
132,Kanji,-1 snack Kerala vegetarian,Not available,Not available,
133,Kaara kozhambu,spicy main course Tamil Nadu vegetarian,Not available,Not available,
134,Keerai kootu,spicy main course Tamil Nadu vegetarian,Not available,Not available,
135,Keerai masiyal,spicy main course Tamil Nadu vegetarian,Not available,Not available,
136,Keerai sadam,spicy main course Tamil Nadu vegetarian,Not available,Not available,
137,Keerai poriyal,spicy main course Tamil Nadu vegetarian,Not available,Not available,
138,Beef Fry,spicy main course Kerala non vegetarian,Not available,Not available,
139,Kootu,spicy main course Tamil Nadu vegetarian,Not available,Not available,
140,Kos kootu,spicy main course Tamil Nadu vegetarian,Not available,Not available,
141,Koshambri,spicy main course Karnataka vegetarian,Not available,Not available,
142,Kothamali sadam,spicy main course Tamil Nadu vegetarian,Not available,Not available,
143,Kuzhakkattai,spicy main course Tamil Nadu vegetarian,Not available,Not available,
