food_id,name,tags,ingredients,cook_time,img_url,diet,dish_family,soup
30,Misti doi,sweet dessert West Bengal vegetarian,"Milk, jaggery",30,,veg,other,"misti_doi misti_doi misti_doi Milk, jaggery sweet dessert West Bengal vegetarian"
31,Pantua,sweet dessert West Bengal vegetarian,"Chhena, sugar, ghee, flour",45,,veg,other,"pantua pantua pantua Chhena, sugar, ghee, flour sweet dessert West Bengal vegetarian"
32,Pithe,sweet dessert Assam vegetarian,"Rice flour, wheat flour",35,,veg,other,"pithe pithe pithe Rice flour, wheat flour sweet dessert Assam vegetarian"
33,Rasabali,sweet dessert Odisha vegetarian,"Chenna, sweetened milk",30,,veg,other,"rasabali rasabali rasabali Chenna, sweetened milk sweet dessert Odisha vegetarian"
34,Ras malai,sweet dessert West Bengal vegetarian,"Chhena, reduced milk, pistachio",60,,veg,other,"ras_malai ras_malai ras_malai Chhena, reduced milk, pistachio sweet dessert West Bengal vegetarian"
35,Rasgulla,sweet dessert West Bengal vegetarian,"Chhena, sugar, cardamom",90,,veg,dessert,"rasgulla rasgulla rasgulla Chhena, sugar, cardamom sweet dessert West Bengal vegetarian"
36,Sandesh,sweet dessert West Bengal vegetarian,"Milk, sugar, saffron, cardamom",20,,veg,other,"sandesh sandesh sandesh Milk, sugar, saffron, cardamom sweet dessert West Bengal vegetarian"
37,Adhirasam,sweet dessert West Bengal vegetarian,"Rice flour, jaggery, ghee, vegetable oil, elachi",50,,veg,soup,"adhirasam adhirasam adhirasam Rice flour, jaggery, ghee, vegetable oil, elachi sweet dessert West Bengal vegetarian"
38,Ariselu,sweet dessert Andhra Pradesh vegetarian,"Rice flour, jaggery, ghee",75,,veg,other,"ariselu ariselu ariselu Rice flour, jaggery, ghee sweet dessert Andhra Pradesh vegetarian"
39,Bandar laddu,sweet dessert Andhra Pradesh vegetarian,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",35,,veg,other,"bandar_laddu bandar_laddu bandar_laddu Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar sweet dessert Andhra Pradesh vegetarian"
40,Chikki,sweet dessert Maharashtra vegetarian,"Peanuts, jaggery",20,,veg,other,"chikki chikki chikki Peanuts, jaggery sweet dessert Maharashtra vegetarian"
41,Dharwad pedha,sweet dessert Karnataka vegetarian,"Milk, Sugar, Dharwadi buffalo milk",60,,veg,other,"dharwad_pedha dharwad_pedha dharwad_pedha Milk, Sugar, Dharwadi buffalo milk sweet dessert Karnataka vegetarian"
42,Double ka meetha,sweet dessert Telangana vegetarian,"Loaf bread, milk",30,,veg,other,"double_ka_meetha double_ka_meetha double_ka_meetha Loaf bread, milk sweet dessert Telangana vegetarian"
43,Gavvalu,sweet dessert Andhra Pradesh vegetarian,"Rice flour, sugar, salt, ghee, semolina",30,,veg,other,"gavvalu gavvalu gavvalu Rice flour, sugar, salt, ghee, semolina sweet dessert Andhra Pradesh vegetarian"
44,Kakinada khaja,sweet dessert Andhra Pradesh vegetarian,"Wheat flour, sugar",30,,veg,other,"kakinada_khaja kakinada_khaja kakinada_khaja Wheat flour, sugar sweet dessert Andhra Pradesh vegetarian"
45,Kuzhi paniyaram,sweet dessert Kerala vegetarian,"Black lentils, rice",20,,veg,other,"kuzhi_paniyaram kuzhi_paniyaram kuzhi_paniyaram Black lentils, rice sweet dessert Kerala vegetarian"
46,Mysore pak,sweet dessert Karnataka vegetarian,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",20,,veg,other,"mysore_pak mysore_pak mysore_pak Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee sweet dessert Karnataka vegetarian"
47,Obbattu holige,sweet main course Karnataka vegetarian,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",60,,veg,other,"obbattu_holige obbattu_holige obbattu_holige Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom sweet main course Karnataka vegetarian"
48,Palathalikalu,sweet dessert Andhra Pradesh vegetarian,"Rice flour, milk",25,,veg,other,"palathalikalu palathalikalu palathalikalu Rice flour, milk sweet dessert Andhra Pradesh vegetarian"
49,Poornalu,sweet dessert Andhra Pradesh vegetarian,"Chana dal, jaggery",60,,veg,other,"poornalu poornalu poornalu Chana dal, jaggery sweet dessert Andhra Pradesh vegetarian"
