food_id,name,tags,img_url
119,Sattu ki roti,spicy main course Bihar vegetarian,
120,Shahi paneer,spicy main course Punjab vegetarian,
121,Shahi tukra,sweet dessert Telangana vegetarian,
122,Vegetable jalfrezi,spicy main course Punjab vegetarian,
123,Tandoori Chicken,spicy main course Punjab non vegetarian,
124,Tandoori Fish Tikka,spicy starter Punjab non vegetarian,
125,Attu,spicy snack Andhra Pradesh vegetarian,
126,Avial,spicy main course Kerala vegetarian,
127,Bisi bele bath,spicy main course Karnataka vegetarian,
128,Currivepillai sadam ,spicy main course Tamil Nadu vegetarian,
129,Dosa,spicy snack -1 vegetarian,
130,Idiappam,spicy snack Tamil Nadu vegetarian,
131,Idli,spicy snack -1 vegetarian,
132,Kanji,-1 snack Kerala vegetarian,
133,Kaara kozhambu,spicy main course Tamil Nadu vegetarian,
134,Keerai kootu,spicy main course Tamil Nadu vegetarian,
135,Keerai masiyal,spicy main course Tamil Nadu vegetarian,
136,Keerai sadam,spicy main course Tamil Nadu vegetarian,
137,Keerai poriyal,spicy main course Tamil Nadu vegetarian,
138,Beef Fry,spicy main course Kerala non vegetarian,
139,Kootu,spicy main course Tamil Nadu vegetarian,
140,Kos kootu,spicy main course Tamil Nadu vegetarian,
141,Koshambri,spicy main course Karnataka vegetarian,
142,Kothamali sadam,spicy main course Tamil Nadu vegetarian,
143,Kuzhakkattai,spicy main course Tamil Nadu vegetarian,
144,Kuzhambu,spicy main course Tamil Nadu vegetarian,
145,Masala Dosa,spicy snack -1 vegetarian,
146,Pachadi,-1 main course -1 vegetarian,
147,Paniyaram,-1 main course Tamil Nadu vegetarian,
148,Papadum,spicy snack Kerala vegetarian,
149,Paravannam,spicy main course Kerala vegetarian,
150,Payasam,sweet dessert -1 vegetarian,
151,Paruppu sadam,-1 main course Tamil Nadu vegetarian,
152,Pesarattu,spicy snack Andhra Pradesh vegetarian,
153,Poriyal,spicy main course Tamil Nadu vegetarian,
154,Puli sadam,-1 main course Tamil Nadu vegetarian,
155,Rasam,spicy main course -1 vegetarian,
156,Puttu,-1 main course Kerala vegetarian,
157,Sambar,spicy main course -1 vegetarian,
158,Sandige,-1 main course Karnataka vegetarian,
159,Sevai,-1 main course -1 vegetarian,
160,Thayir sadam,-1 main course Tamil Nadu vegetarian,
161,Theeyal,-1 main course Kerala vegetarian,
162,Uttapam,spicy snack -1 vegetarian,
163,Vada,spicy snack -1 vegetarian,
164,Chicken Varuval,spicy main course Tamil Nadu non vegetarian,
165,Upma,spicy snack -1 vegetarian,
166,Amti,spicy main course Maharashtra vegetarian,
167,Zunka,spicy main course Maharashtra vegetarian,
168,Kolim Jawla,spicy main course Maharashtra non vegetarian,
169,Saath,spicy main course Gujarat vegetarian,
170,Bajri no rotlo,spicy main course Gujarat vegetarian,
171,Coconut vadi,sweet dessert Maharashtra vegetarian,
172,Bhakri,-1 main course Maharashtra vegetarian,
173,Bombil fry,spicy main course Maharashtra non vegetarian,
174,Chakali,spicy snack Maharashtra vegetarian,
175,Chevdo,spicy snack Gujarat vegetarian,
176,Chorafali,spicy snack Gujarat vegetarian,
177,Copra paak,-1 main course Gujarat vegetarian,
178,Daal Dhokli,spicy main course Gujarat vegetarian,
179,Kutchi dabeli,spicy snack Gujarat vegetarian,
180,Dahi vada,-1 snack Maharashtra vegetarian,
181,Dalithoy,-1 main course Maharashtra vegetarian,
182,Dhokla,spicy snack Gujarat vegetarian,
183,Dudhi halwa,sweet dessert Gujarat vegetarian,
184,Gatta curry,spicy main course Rajasthan vegetarian,
185,Gud papdi,sweet dessert Gujarat vegetarian,
186,Ghooghra,spicy snack Gujarat vegetarian,
187,Handwo,spicy snack Gujarat vegetarian,
188,Halvasan,sweet dessert Gujarat vegetarian,
189,Jeera Aloo,spicy main course Gujarat vegetarian,
190,Kansar,-1 main course Gujarat vegetarian,
191,Keri no ras,sour main course Gujarat vegetarian,
192,Khakhra,spicy snack Gujarat vegetarian,
193,Khandvi,spicy snack Gujarat vegetarian,
194,Kombdi vade,spicy snack Maharashtra vegetarian,
195,Laapsi,spicy main course Madhya Pradesh vegetarian,
196,Koshimbir,spicy main course Maharashtra vegetarian,
197,Methi na Gota,bitter main course Gujarat vegetarian,
198,Mohanthal,sweet dessert Gujarat vegetarian,
199,Muthiya,bitter snack Gujarat vegetarian,
200,Patra,spicy snack Gujarat vegetarian,
201,Pav Bhaji,spicy main course Maharashtra vegetarian,
202,Puri Bhaji,spicy main course Maharashtra vegetarian,
203,Sabudana Khichadi,spicy snack Maharashtra vegetarian,
204,Sev khamani,spicy main course Gujarat vegetarian,
205,Sev tameta,spicy main course Gujarat vegetarian,
206,Namakpara,spicy snack Gujarat vegetarian,
207,Sukhdi,sweet dessert Maharashtra vegetarian,
208,Surnoli,spicy snack Maharashtra vegetarian,
209,Thalipeeth,spicy main course Maharashtra vegetarian,
210,Undhiyu,spicy main course Gujarat vegetarian,
211,Veg Kolhapuri,spicy main course Maharashtra vegetarian,
212,Vindaloo,spicy main course Goa non vegetarian,
213,Lilva Kachori,spicy snack Gujarat vegetarian,
214,Mag Dhokli,spicy snack Gujarat vegetarian,
215,Khichu,spicy snack Gujarat vegetarian,
216,Thepla,spicy snack Gujarat vegetarian,
217,Farsi Puri,-1 snack Gujarat vegetarian,
218,Khaman,spicy snack Gujarat vegetarian,
219,Turiya Patra Vatana sabji,spicy main course Gujarat vegetarian,
220,Churma Ladoo,sweet dessert Rajasthan vegetarian,
221,Cheera Doi,sweet dessert West Bengal vegetarian,
222,Gheela Pitha,sweet dessert Assam vegetarian,
223,Khar,-1 main course Assam vegetarian,
224,Kumol Sawul,spicy main course Assam non vegetarian,
225,Luchi,-1 main course West Bengal vegetarian,
226,Alu Pitika,spicy main course Assam non vegetarian,
227,Masor tenga,spicy main course Assam non vegetarian,
228,Bengena Pitika,-1 main course Assam vegetarian,
229,Bilahi Maas,-1 main course Assam non vegetarian,
230,Black rice,-1 main course Manipur non vegetarian,
231,Bora Sawul,spicy main course Assam vegetarian,
232,Brown Rice,-1 main course -1 vegetarian,
233,Chingri malai curry,spicy main course West Bengal non vegetarian,
234,Goja,sweet dessert West Bengal vegetarian,
235,Hando Guri,sweet dessert Assam vegetarian,
236,Haq Maas,spicy main course Assam non vegetarian,
237,Chingri Bhape,-1 main course West Bengal non vegetarian,
238,Kabiraji,spicy main course West Bengal non vegetarian,
239,Khorisa,spicy main course Assam vegetarian,
240,Koldil Chicken,spicy main course Assam non vegetarian,
241,Konir Dom,spicy main course Assam non vegetarian,
242,Koldil Duck,spicy main course Assam non vegetarian,
243,Masor Koni,spicy main course Assam non vegetarian,
244,Mishti Chholar Dal,sweet main course West Bengal vegetarian,
245,Pakhala,-1 main course Odisha vegetarian,
246,Pani Pitha,-1 main course Assam vegetarian,
247,Payokh,sweet dessert Assam vegetarian,
248,Prawn malai curry,spicy main course West Bengal non vegetarian,
249,Red Rice,-1 main course -1 vegetarian,
250,Shukto,spicy main course West Bengal vegetarian,
251,Til Pitha,sweet dessert Assam vegetarian,
252,Bebinca,sweet dessert Goa vegetarian,
253,Shufta,sweet dessert Jammu & Kashmir vegetarian,
254,Mawa Bati,sweet dessert Madhya Pradesh vegetarian,
255,Pinaca,sweet dessert Goa vegetarian,
256,Baingan Fry,spicy main course Punjab vegetarian,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/baingan-bharta-1-500x500.jpg
